waveform	Ch0		Gen	
t0	10/3/2021  19:53:50.428034		10/3/2021  19:53:50.428036	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
10/3/2021  19:53:50.428994	2.295233E+0	10/3/2021  19:53:50.428996	1.832262E+0
10/3/2021  19:53:50.428999	2.354739E+0	10/3/2021  19:53:50.429001	1.889479E+0
10/3/2021  19:53:50.429004	2.410322E+0	10/3/2021  19:53:50.429006	1.944081E+0
10/3/2021  19:53:50.429009	2.465578E+0	10/3/2021  19:53:50.429011	1.997375E+0
10/3/2021  19:53:50.429014	2.517564E+0	10/3/2021  19:53:50.429016	2.047726E+0
10/3/2021  19:53:50.429019	2.566934E+0	10/3/2021  19:53:50.429021	2.095789E+0
10/3/2021  19:53:50.429024	2.613689E+0	10/3/2021  19:53:50.429026	2.141236E+0
10/3/2021  19:53:50.429029	2.658155E+0	10/3/2021  19:53:50.429031	2.184721E+0
10/3/2021  19:53:50.429034	2.699679E+0	10/3/2021  19:53:50.429036	2.224937E+0
10/3/2021  19:53:50.429039	2.738914E+0	10/3/2021  19:53:50.429041	2.262210E+0
10/3/2021  19:53:50.429044	2.775860E+0	10/3/2021  19:53:50.429046	2.296868E+0
10/3/2021  19:53:50.429049	2.808883E+0	10/3/2021  19:53:50.429051	2.330544E+0
10/3/2021  19:53:50.429054	2.839617E+0	10/3/2021  19:53:50.429056	2.359644E+0
10/3/2021  19:53:50.429059	2.868062E+0	10/3/2021  19:53:50.429061	2.387435E+0
10/3/2021  19:53:50.429064	2.892911E+0	10/3/2021  19:53:50.429066	2.411957E+0
10/3/2021  19:53:50.429069	2.914817E+0	10/3/2021  19:53:50.429071	2.433209E+0
10/3/2021  19:53:50.429074	2.935415E+0	10/3/2021  19:53:50.429076	2.452172E+0
10/3/2021  19:53:50.429079	2.951109E+0	10/3/2021  19:53:50.429081	2.467212E+0
10/3/2021  19:53:50.429084	2.965168E+0	10/3/2021  19:53:50.429086	2.481272E+0
10/3/2021  19:53:50.429089	2.974977E+0	10/3/2021  19:53:50.429091	2.489773E+0
10/3/2021  19:53:50.429094	2.983805E+0	10/3/2021  19:53:50.429096	2.497946E+0
10/3/2021  19:53:50.429099	2.988382E+0	10/3/2021  19:53:50.429101	2.502524E+0
10/3/2021  19:53:50.429104	2.991325E+0	10/3/2021  19:53:50.429106	2.503178E+0
10/3/2021  19:53:50.429109	2.989036E+0	10/3/2021  19:53:50.429111	2.501543E+0
10/3/2021  19:53:50.429114	2.985440E+0	10/3/2021  19:53:50.429116	2.497946E+0
10/3/2021  19:53:50.429119	2.978901E+0	10/3/2021  19:53:50.429121	2.490426E+0
10/3/2021  19:53:50.429124	2.968438E+0	10/3/2021  19:53:50.429126	2.480945E+0
10/3/2021  19:53:50.429129	2.955033E+0	10/3/2021  19:53:50.429131	2.468193E+0
10/3/2021  19:53:50.429134	2.939993E+0	10/3/2021  19:53:50.429136	2.452172E+0
10/3/2021  19:53:50.429139	2.922010E+0	10/3/2021  19:53:50.429141	2.433863E+0
10/3/2021  19:53:50.429144	2.901412E+0	10/3/2021  19:53:50.429146	2.412284E+0
10/3/2021  19:53:50.429149	2.876563E+0	10/3/2021  19:53:50.429151	2.387108E+0
10/3/2021  19:53:50.429154	2.849099E+0	10/3/2021  19:53:50.429156	2.360297E+0
10/3/2021  19:53:50.429159	2.819018E+0	10/3/2021  19:53:50.429161	2.330544E+0
10/3/2021  19:53:50.429164	2.786650E+0	10/3/2021  19:53:50.429166	2.298829E+0
10/3/2021  19:53:50.429169	2.749704E+0	10/3/2021  19:53:50.429171	2.262537E+0
10/3/2021  19:53:50.429174	2.712430E+0	10/3/2021  19:53:50.429176	2.225918E+0
10/3/2021  19:53:50.429179	2.671561E+0	10/3/2021  19:53:50.429181	2.185375E+0
10/3/2021  19:53:50.429184	2.628402E+0	10/3/2021  19:53:50.429186	2.142217E+0
10/3/2021  19:53:50.429189	2.582628E+0	10/3/2021  19:53:50.429191	2.097751E+0
10/3/2021  19:53:50.429194	2.533585E+0	10/3/2021  19:53:50.429196	2.048707E+0
10/3/2021  19:53:50.429199	2.482252E+0	10/3/2021  19:53:50.429201	1.997375E+0
10/3/2021  19:53:50.429204	2.428958E+0	10/3/2021  19:53:50.429206	1.945389E+0
10/3/2021  19:53:50.429209	2.373049E+0	10/3/2021  19:53:50.429211	1.889806E+0
10/3/2021  19:53:50.429214	2.315504E+0	10/3/2021  19:53:50.429216	1.833242E+0
10/3/2021  19:53:50.429219	2.254363E+0	10/3/2021  19:53:50.429221	1.774063E+0
10/3/2021  19:53:50.429224	2.191261E+0	10/3/2021  19:53:50.429226	1.711614E+0
10/3/2021  19:53:50.429229	2.125542E+0	10/3/2021  19:53:50.429231	1.647204E+0
10/3/2021  19:53:50.429234	2.059170E+0	10/3/2021  19:53:50.429236	1.582466E+0
10/3/2021  19:53:50.429239	1.990182E+0	10/3/2021  19:53:50.429241	1.515113E+0
10/3/2021  19:53:50.429244	1.918905E+0	10/3/2021  19:53:50.429246	1.444817E+0
10/3/2021  19:53:50.429249	1.846648E+0	10/3/2021  19:53:50.429251	1.373867E+0
10/3/2021  19:53:50.429254	1.771447E+0	10/3/2021  19:53:50.429256	1.300956E+0
10/3/2021  19:53:50.429259	1.694939E+0	10/3/2021  19:53:50.429261	1.226737E+0
10/3/2021  19:53:50.429264	1.615489E+0	10/3/2021  19:53:50.429266	1.149902E+0
10/3/2021  19:53:50.429269	1.536038E+0	10/3/2021  19:53:50.429271	1.073067E+0
10/3/2021  19:53:50.429274	1.455280E+0	10/3/2021  19:53:50.429276	9.949240E-1
10/3/2021  19:53:50.429279	1.372560E+0	10/3/2021  19:53:50.429281	9.158004E-1
10/3/2021  19:53:50.429284	1.289186E+0	10/3/2021  19:53:50.429286	8.350420E-1
10/3/2021  19:53:50.429289	1.202542E+0	10/3/2021  19:53:50.429291	7.539566E-1
10/3/2021  19:53:50.429294	1.116225E+0	10/3/2021  19:53:50.429296	6.705825E-1
10/3/2021  19:53:50.429299	1.028928E+0	10/3/2021  19:53:50.429301	5.875353E-1
10/3/2021  19:53:50.429304	9.399952E-1	10/3/2021  19:53:50.429306	5.044882E-1
10/3/2021  19:53:50.429309	8.500820E-1	10/3/2021  19:53:50.429311	4.204602E-1
10/3/2021  19:53:50.429314	7.608227E-1	10/3/2021  19:53:50.429316	3.383939E-1
10/3/2021  19:53:50.429319	6.679668E-1	10/3/2021  19:53:50.429321	2.566546E-1
10/3/2021  19:53:50.429324	5.760918E-1	10/3/2021  19:53:50.429326	1.772040E-1
10/3/2021  19:53:50.429329	4.845438E-1	10/3/2021  19:53:50.429331	1.016769E-1
10/3/2021  19:53:50.429334	3.907071E-1	10/3/2021  19:53:50.429336	3.988196E-2
10/3/2021  19:53:50.429339	2.981782E-1	10/3/2021  19:53:50.429341	2.281879E-3
10/3/2021  19:53:50.429344	2.036875E-1	10/3/2021  19:53:50.429346	-8.834667E-3
10/3/2021  19:53:50.429349	1.101778E-1	10/3/2021  19:53:50.429351	-1.439294E-2
10/3/2021  19:53:50.429354	1.536017E-2	10/3/2021  19:53:50.429356	-2.093208E-2
10/3/2021  19:53:50.429359	-7.913047E-2	10/3/2021  19:53:50.429361	-2.779819E-2
10/3/2021  19:53:50.429364	-1.726402E-1	10/3/2021  19:53:50.429366	-3.401037E-2
10/3/2021  19:53:50.429369	-2.668039E-1	10/3/2021  19:53:50.429371	-3.956865E-2
10/3/2021  19:53:50.429374	-3.606407E-1	10/3/2021  19:53:50.429376	-4.545388E-2
10/3/2021  19:53:50.429379	-4.538235E-1	10/3/2021  19:53:50.429381	-5.166606E-2
10/3/2021  19:53:50.429384	-5.476602E-1	10/3/2021  19:53:50.429386	-5.755130E-2
10/3/2021  19:53:50.429389	-6.401891E-1	10/3/2021  19:53:50.429391	-6.310957E-2
10/3/2021  19:53:50.429394	-7.320641E-1	10/3/2021  19:53:50.429396	-6.997567E-2
10/3/2021  19:53:50.429399	-8.226312E-1	10/3/2021  19:53:50.429401	-7.455307E-2
10/3/2021  19:53:50.429404	-9.128714E-1	10/3/2021  19:53:50.429406	-8.109222E-2
10/3/2021  19:53:50.429409	-1.002131E+0	10/3/2021  19:53:50.429411	-8.665049E-2
10/3/2021  19:53:50.429414	-1.091063E+0	10/3/2021  19:53:50.429416	-9.155485E-2
